firm_name,city,state,practice_focus,notes,firm_reuse_flag,city_slug
Injury Justice Law Firm,Los Angeles,CA,Personal injury law,Imported from existing repo listings,,los-angeles-ca
Ledger Law,Los Angeles,CA,Personal injury law,Imported from existing repo listings,,los-angeles-ca
Daniel Law Firm,Memphis,TN,Personal injury law,Imported from existing repo listings,,memphis-tn
Greer Injury Lawyers,Memphis,TN,Personal injury law,Imported from existing repo listings,,memphis-tn
The Chiozza Law Firm,Memphis,TN,Personal injury law,Imported from existing repo listings,,memphis-tn
Emanuel Galimidi,Miami,FL,Personal injury law,Imported from existing repo listings,,miami-fl
Ira H. Leesfield,Miami,FL,Personal injury law,Imported from existing repo listings,,miami-fl
Jonathan Hayes Groff,Miami,FL,Personal injury law,Imported from existing repo listings,,miami-fl
Matthew A. Dolman,Miami,FL,Personal injury law,Imported from existing repo listings,,miami-fl
Sagi Shaked,Miami,FL,Personal injury law,Imported from existing repo listings,,miami-fl
Alan S. Milavetz,Minneapolis,MN,Personal injury law,Imported from existing repo listings,,minneapolis-mn
Michael Hall,Minneapolis,MN,Personal injury law,Imported from existing repo listings,,minneapolis-mn
Robert M. Speeter,Minneapolis,MN,Personal injury law,Imported from existing repo listings,,minneapolis-mn
Russell Nicolet,Minneapolis,MN,Personal injury law,Imported from existing repo listings,,minneapolis-mn
William Anthony Sand,Minneapolis,MN,Personal injury law,Imported from existing repo listings,,minneapolis-mn
David Weissman,Nashville,TN,Personal injury law,Imported from existing repo listings,,nashville-tn
Matthew Charles Hardin,Nashville,TN,Personal injury law,Imported from existing repo listings,,nashville-tn
Patrick Dylan Witherington,Nashville,TN,Personal injury law,Imported from existing repo listings,,nashville-tn
Perry Allan Craft,Nashville,TN,Personal injury law,Imported from existing repo listings,,nashville-tn
Rocky McElhaney,Nashville,TN,Personal injury law,Imported from existing repo listings,,nashville-tn
Darren T. Moore,New York City,NY,Personal injury law,Imported from existing repo listings,,new-york-city-ny
Jeremy Schiowitz,New York City,NY,Personal injury law,Imported from existing repo listings,,new-york-city-ny
Paul Campson,New York City,NY,Personal injury law,Imported from existing repo listings,,new-york-city-ny
Scott Alan Harford,New York City,NY,Personal injury law,Imported from existing repo listings,,new-york-city-ny
Scott Rothenberg,New York City,NY,Personal injury law,Imported from existing repo listings,,new-york-city-ny
Darren T. Moore,New York,NY,Personal injury law,Imported from existing repo listings,,new-york-ny
Jeremy Schiowitz,New York,NY,Personal injury law,Imported from existing repo listings,,new-york-ny
Paul Campson,New York,NY,Personal injury law,Imported from existing repo listings,,new-york-ny
Scott Alan Harford,New York,NY,Personal injury law,Imported from existing repo listings,,new-york-ny
Scott Rothenberg,New York,NY,Personal injury law,Imported from existing repo listings,,new-york-ny
"Bogin, Munns & Munns",Orlando,FL,Personal injury law,Imported from existing repo listings,,orlando-fl
"Brehne Law Firm, P.A.",Orlando,FL,Personal injury law,Imported from existing repo listings,,orlando-fl
Carlson Attorneys,Orlando,FL,Personal injury law,Imported from existing repo listings,,orlando-fl
Coye Law Firm,Orlando,FL,Personal injury law,Imported from existing repo listings,,orlando-fl
The Jaspon Firm,Orlando,FL,Personal injury law,Imported from existing repo listings,,orlando-fl
"Console & Associates, P.C.",Philadelphia,PA,Personal injury law,Imported from existing repo listings,,philadelphia-pa
J. Fine Law,Philadelphia,PA,Personal injury law,Imported from existing repo listings,,philadelphia-pa
"McCann Dillon Jaffe & Lamb, LLC",Philadelphia,PA,Personal injury law,Imported from existing repo listings,,philadelphia-pa
Rosenbaum & Associates,Philadelphia,PA,Personal injury law,Imported from existing repo listings,,philadelphia-pa
Zarwin Baum,Philadelphia,PA,Personal injury law,Imported from existing repo listings,,philadelphia-pa
Clark Hansen Fielding,Phoenix,AZ,Personal injury law,Imported from existing repo listings,,phoenix-az
Craig A. Knapp,Phoenix,AZ,Personal injury law,Imported from existing repo listings,,phoenix-az
John Eugene Kelly,Phoenix,AZ,Personal injury law,Imported from existing repo listings,,phoenix-az
Neama Rahmani,Phoenix,AZ,Personal injury law,Imported from existing repo listings,,phoenix-az
Zaheer A. Shah,Phoenix,AZ,Personal injury law,Imported from existing repo listings,,phoenix-az
Daniel Joseph Snyder,Portland,OR,Personal injury law,Imported from existing repo listings,,portland-or
Laird Christopher Schaub,Portland,OR,Personal injury law,Imported from existing repo listings,,portland-or
Paul W. Luvera,Portland,OR,Personal injury law,Imported from existing repo listings,,portland-or
Raymond Henry,Portland,OR,Personal injury law,Imported from existing repo listings,,portland-or
Thomas D. Christ,Portland,OR,Personal injury law,Imported from existing repo listings,,portland-or
Allen & Allen,Richmond,VA,Personal injury law,Imported from existing repo listings,,richmond-va
The Joel Bieber Firm,Richmond,VA,Personal injury law,Imported from existing repo listings,,richmond-va
The Johnson Injury Firm,Richmond,VA,Personal injury law,Imported from existing repo listings,,richmond-va
"Virginia Personal Injury Lawyers, PLLC",Richmond,VA,Personal injury law,Imported from existing repo listings,,richmond-va
Virginia Trial Firm,Richmond,VA,Personal injury law,Imported from existing repo listings,,richmond-va
CaseyGerry,San Diego,CA,Personal injury law,Imported from existing repo listings,,san-diego-ca
Gomez Trial Attorneys,San Diego,CA,Personal injury law,Imported from existing repo listings,,san-diego-ca
Hamparyan Personal Injury Lawyers San Diego,San Diego,CA,Personal injury law,Imported from existing repo listings,,san-diego-ca
Jurewitz Law Group,San Diego,CA,Personal injury law,Imported from existing repo listings,,san-diego-ca
Pines Salomon Injury Lawyers,San Diego,CA,Personal injury law,Imported from existing repo listings,,san-diego-ca
Admiralty Law,Seattle,WA,Personal injury law,Imported from existing repo listings,,seattle-wa
Elsner Law Firm,Seattle,WA,Personal injury law,Imported from existing repo listings,,seattle-wa
Herrmann Law Group,Seattle,WA,Personal injury law,Imported from existing repo listings,,seattle-wa
Menzer Law,Seattle,WA,Personal injury law,Imported from existing repo listings,,seattle-wa
Washington Injury Law,Seattle,WA,Personal injury law,Imported from existing repo listings,,seattle-wa
"Alaska Personal Injury Law Group (Atkinson, Conway & Gagnon)",Anchorage,AK,Personal injury and catastrophic injury,Long-established Anchorage PI attorneys,,anchorage-ak
"Banker Law Group, P.C.",Anchorage,AK,Car & personal injury law,Local injury attorney firm in Anchorage,,anchorage-ak
"Barber & Associates, LLC",Anchorage,AK,Personal injury and wrongful death,Firm with PI focus including auto/truck accidents,,anchorage-ak
Farnsworth & Vance,Anchorage,AK,Personal injury and accident law,Firm with broad PI practice in Anchorage,,anchorage-ak
Law Office of Robert Stone,Anchorage,AK,Personal injury and negligent acts,Anchorage-based solo PI practitioner,,anchorage-ak
AutoAccident.com (Edward A. Smith Law Offices),Sacramento,CA,Personal injury law,Sacramento-based PI firm,,sacramento-ca
Eason & Tambornini,Sacramento,CA,Personal injury law,Northern California PI attorneys,,sacramento-ca
Phoong Law Corp,Sacramento,CA,Personal injury law,California PI firm serving Sacramento,,sacramento-ca
Dolan Law Firm,San Francisco,CA,Personal injury and civil rights,Established Bay Area PI firm,,san-francisco-ca
Rouda Feder Tietjen & McGuinn,San Francisco,CA,Personal injury and wrongful death,San Francisco PI firm,,san-francisco-ca
"Walkup, Melodia, Kelly & Schoenberger",San Francisco,CA,Personal injury law,San Francisco-based PI litigation firm,,san-francisco-ca
Abrahamson & Uiterwyk,Tampa,FL,Personal injury law,Florida PI firm with Tampa presence,,tampa-fl
"Battaglia, Ross, Dicus & McQuaid",Tampa,FL,Personal injury law,Tampa-based PI litigation firm,,tampa-fl
"Perenich, Caulfield, Avril & Noyes",Tampa,FL,Personal injury law,Longstanding Tampa PI firm,,tampa-fl
Des Moines Injury Law,Des Moines,IA,Personal injury,nan,,des-moines-ia
Finley Law Firm,Des Moines,IA,Personal injury,nan,,des-moines-ia
Hupy and Abraham,Des Moines,IA,Personal injury,nan,,des-moines-ia
Parrish Kruidenier Dunn Gentry Brown Bergmann & Messamer,Des Moines,IA,Personal injury,nan,,des-moines-ia
Simmons Perrine Moyer Bergman,Des Moines,IA,Personal injury,nan,,des-moines-ia
"Walker, Billingsley & Bair",Des Moines,IA,Personal injury,nan,,des-moines-ia
Whitfield & Eddy,Des Moines,IA,Personal injury,nan,,des-moines-ia
Craig Swapp & Associates,Boise,ID,Personal injury law,Regional PI firm with Idaho presence,REUSED,boise-id
Feller & Wendt,Boise,ID,Personal injury,nan,,boise-id
Hepworth Holzer,Boise,ID,Personal injury and accident law,Established Idaho PI firm,,boise-id
Johnson & Lundgreen,Boise,ID,Personal injury law,Idaho-based PI firm serving Boise and statewide,,boise-id
Moore Elia Kraft & Hall,Boise,ID,Personal injury,nan,,boise-id
Pedersen Whitehead & Hanby,Boise,ID,Personal injury,nan,,boise-id
Wasden Banias,Boise,ID,Personal injury,nan,,boise-id
Joe Bornstein Injury Lawyers,Augusta,ME,Personal injury and accident law,Statewide ME PI firm,,augusta-me
Lipman & Katz,Augusta,ME,Personal injury law,Maine-based PI attorneys,,augusta-me
Lowry & Associates,Augusta,ME,Personal injury law,Maine PI firm serving Augusta,,augusta-me
"Brown, Bass & Jeter",Jackson,MS,Personal injury,nan,,jackson-ms
Chhabra Gibbs & Herrington,Jackson,MS,Personal injury,nan,,jackson-ms
Davis & Williams PLLC,Jackson,MS,Personal injury and accident law,Established Jackson PI firm,,jackson-ms
Gore Gore & Mitchell,Jackson,MS,Personal injury,nan,,jackson-ms
Heilman Nisbett Polk,Jackson,MS,Personal injury law,Jackson-based personal injury representation,,jackson-ms
Merkel & Cocke,Jackson,MS,Personal injury,nan,,jackson-ms
Monge & Associates,Jackson,MS,Personal injury law,PI firm serving Jackson & beyond,,jackson-ms
Richard Schwartz & Associates,Jackson,MS,Personal injury,nan,,jackson-ms
The Barbour Law Firm,Jackson,MS,Personal injury,nan,,jackson-ms
The Wise Carter Law Firm,Jackson,MS,Personal injury,nan,,jackson-ms
Daly & Sorenson,Billings,MT,Personal injury law,Billings-based PI representation,,billings-mt
"Goetz, Baldwin & Geddes",Billings,MT,Personal injury law,Montana PI firm serving Billings,,billings-mt
"Tash, Heidt & McDonnell",Billings,MT,Personal injury and civil litigation,Regional litigation firm,,billings-mt
Maring Williams Law Office,Fargo,ND,Personal injury and wrongful death law,Fargo-area PI litigation firm with long history,,fargo-nd
Nicolet Law,Fargo,ND,Personal injury and accident law,Regional PI firm serving ND & MN,,fargo-nd
Solberg Stewart Miller,Fargo,ND,Personal injury and motor vehicle accident law,Established PI firm in Fargo area,,fargo-nd
Berry Law,Omaha,NE,Personal injury,nan,,omaha-ne
Cullan & Cullan,Omaha,NE,Personal injury,nan,,omaha-ne
"Hauptman, O'Brien, Wolf & Lathrop",Omaha,NE,Personal injury,nan,,omaha-ne
Kampfe Law,Omaha,NE,Personal injury,nan,,omaha-ne
Knowles Law Firm,Omaha,NE,Personal injury,nan,,omaha-ne
"McGill, Gotsdiner, Workman & Lepp",Omaha,NE,Personal injury,nan,,omaha-ne
Schirber & Wagner,Omaha,NE,Personal injury,nan,,omaha-ne
Bernstein & Mello,Concord,NH,Personal injury and accident law,Statewide NH PI firm,,concord-nh
Buckley Law Offices,Concord,NH,Personal injury law,New Hampshire PI firm,,concord-nh
Law Offices of Douglas T. Beasley,Concord,NH,Personal injury law,Concord-based PI attorney,,concord-nh
"Buckley, Mendleson, Criscione & Quinn",Albany,NY,Personal injury law,Capital District personal injury attorneys,,albany-ny
"Buckley, Mendleson, Criscione, and Quinn, P.C.",Albany,NY,Personal injury law,Capital District personal injury attorneys,,albany-ny
"Martin, Harding & Mazzotti",Albany,NY,Personal injury law,Upstate NY PI firm with Albany presence,,albany-ny
"O’Connor, O’Connor, Bresee & First",Albany,NY,Personal injury law,Albany-based PI firm serving Capital Region,,albany-ny
Abel Law Firm,Oklahoma City,OK,Personal injury and wrongful death,nan,,oklahoma-city-ok
Cunningham & Mears,Oklahoma City,OK,Personal injury,nan,,oklahoma-city-ok
Hasbrook & Hasbrook,Oklahoma City,OK,Personal injury and auto accidents,nan,,oklahoma-city-ok
Head Law Firm,Oklahoma City,OK,Personal injury,nan,,oklahoma-city-ok
McIntyre Law,Oklahoma City,OK,Personal injury and trucking accidents,nan,,oklahoma-city-ok
Oklahoma Injury Law Firm,Oklahoma City,OK,Personal injury,nan,,oklahoma-city-ok
Rasor Law Firm,Oklahoma City,OK,Personal injury,nan,,oklahoma-city-ok
The Carr Law Firm,Oklahoma City,OK,Personal injury litigation,nan,,oklahoma-city-ok
"Beardsley, Jensen & Lee",Sioux Falls,SD,Personal injury and accident claims,Local PI representation firm,,sioux-falls-sd
Christensen Law Office,Sioux Falls,SD,Personal injury and accident law,Local Sioux Falls PI firm,,sioux-falls-sd
"Janklow & Abdallah,LLP",Sioux Falls,SD,Personal injury and litigation law,Regional PI litigation firm,REUSED,sioux-falls-sd
"Johnson Janklow & Abdallah,LLP",Sioux Falls,SD,Personal injury and litigation law,Regional PI firm with extensive experience,REUSED,sioux-falls-sd
King Law Firm,Sioux Falls,SD,Personal injury law,Experienced PI attorney serving Sioux Falls,,sioux-falls-sd
Funk & Associates,Austin,TX,Personal injury and accident law,Austin personal injury attorneys,,austin-tx
Lorenz & Lorenz,Austin,TX,Personal injury law,Austin-based PI firm,,austin-tx
Thomas J. Henry Law,Austin,TX,Personal injury law,Texas-based PI firm with Austin presence,,austin-tx
Heard Attorneys,Montpelier,VT,Personal injury law,Statewide Vermont PI firm,,montpelier-vt
Paul Frank + Collins,Montpelier,VT,Personal injury and litigation,Established VT firm,,montpelier-vt
Zalinger Cameron & Lambek,Montpelier,VT,Personal injury and civil litigation,Vermont-based litigation firm,,montpelier-vt
"Campbell & Smith,PLLC",Charleston,WV,Personal injury representation,Charleston PI firm,,charleston-wv
"Farmer, Cline & Campbell,PLLC",Charleston,WV,Personal injury and insurance law,West Virginia PI firm,,charleston-wv
Johnstone & Gabhart,Charleston,WV,Personal injury and negligent acts,Charleston firm with PI focus,,charleston-wv
Salango Law,Charleston,WV,Personal injury and accident law,West Virginia PI lawyers (statewide firm),,charleston-wv
West Law Firm,Charleston,WV,Personal injury and accident claims,Charleston WV PI firm,,charleston-wv
Godfrey Law Office,Cheyenne,WY,Personal injury and civil litigation,Local PI attorney,,cheyenne-wy
Hirst Applegate,Cheyenne,WY,Personal injury law,Wyoming PI firm with Cheyenne presence,,cheyenne-wy
The Law Offices of Keith Nachman,Cheyenne,WY,Personal injury and accident law,Wyoming-based PI practice,,cheyenne-wy
Rainwater Holt & Sexton,Little Rock,AR,Personal injury and auto accidents,Official site (discovered via web),,little-rock-ar
Halcook Law Firm,Little Rock,AR,Personal injury law,Official site (discovered via web),,little-rock-ar
Arkansas Advocates,Little Rock,AR,Personal injury law,Official site (discovered via web),,little-rock-ar
Joye Law Firm,Columbia,SC,Personal injury and accident law,Official site (discovered via web),,columbia-sc
Jefferies Law Firm,Columbia,SC,Personal injury and accident law,Official site (discovered via web),,columbia-sc
Strom Law Firm,Columbia,SC,Personal injury and accident law,Official site (discovered via web),,columbia-sc
Gideon Asen LLC,Burlington,VT,Personal injury law,Official site (discovered via web),,burlington-vt
Shoup Evers & Green,Burlington,VT,Personal injury and civil litigation,Official site (discovered via web),,burlington-vt
Dickson Law Office,Burlington,VT,Personal injury and accident law,Official site (discovered via web),,burlington-vt
"Shaheen & Gordon, P.A.",Manchester,NH,Personal injury law,Official site (discovered via web),,manchester-nh
"Ward Law Group, PLLC",Manchester,NH,Personal injury law,Official site (discovered via web),,manchester-nh
"Upton & Hatfield, LLP",Manchester,NH,Personal injury and accident law,Official site (discovered via web),,manchester-nh
Guster Law Firm,Birmingham,AL,Personal injury law,From prior chat list (needs verification),,birmingham-al
"Farris, Riley & Pitt, LLP",Birmingham,AL,Personal injury law,From prior chat list (needs verification),,birmingham-al
Wettermark Keith,Birmingham,AL,Personal injury law,From prior chat list (needs verification),,birmingham-al
Belt Bruner Barnett & Morrison,Birmingham,AL,Personal injury law,From prior chat list (needs verification),,birmingham-al
"Doroshow, Pasquale, Krawitz & Bhaya",Wilmington,DE,Personal injury law,From prior chat list (needs verification),,wilmington-de
"Jacobs & Crumplar, P.A.",Wilmington,DE,Personal injury law,From prior chat list (needs verification),,wilmington-de
Chong Law Firm,Wilmington,DE,Personal injury law,From prior chat list (needs verification),,wilmington-de
Davis Levin Livingston,Honolulu,HI,Personal injury law,From prior chat list (needs verification),,honolulu-hi
"Leavitt, Yamane & Soldner",Honolulu,HI,Personal injury law,From prior chat list (needs verification),,honolulu-hi
"Law Office of Jon S. Jacobs, LLLC",Honolulu,HI,Personal injury law,From prior chat list (needs verification),,honolulu-hi
Berman & Simmons,Portland,ME,Personal injury law,From prior chat list (needs verification),,portland-me
Romanow Law Group,Portland,ME,Personal injury law,From prior chat list (needs verification),,portland-me
"Jabar LaLiberty, LLC",Portland,ME,Personal injury law,From prior chat list (needs verification),,portland-me
Richard Harris Law Firm,Las Vegas,NV,Personal injury law,From prior chat list (needs verification),,las-vegas-nv
Naqvi Injury Law,Las Vegas,NV,Personal injury law,From prior chat list (needs verification),,las-vegas-nv
Benson & Bingham Accident Injury Lawyers,Las Vegas,NV,Personal injury law,From prior chat list (needs verification),,las-vegas-nv
"Glasheen, Valles & Inderman Injury Lawyers",Albuquerque,NM,Personal injury law,From prior chat list (needs verification),,albuquerque-nm
Parnall & Adams Law,Albuquerque,NM,Personal injury law,From prior chat list (needs verification),,albuquerque-nm
Zinda Law Group (Albuquerque),Albuquerque,NM,Personal injury law,From prior chat list (needs verification),,albuquerque-nm
Law Offices of Ronald J. Resmini,Providence,RI,Personal injury law,From prior chat list (needs verification),,providence-ri
Rob Levine Law,Providence,RI,Personal injury law,From prior chat list (needs verification),,providence-ri
Tapalian Law,Providence,RI,Personal injury law,From prior chat list (needs verification),,providence-ri
Siegfried & Jensen,Salt Lake City,UT,Personal injury law,From prior chat list (needs verification),,salt-lake-city-ut
Christensen & Hymas (Good Guys Injury Law),Salt Lake City,UT,Personal injury law,From prior chat list (needs verification),,salt-lake-city-ut
Craig Swapp & Associates,Salt Lake City,UT,Personal injury law,From prior chat list (needs verification),REUSED,salt-lake-city-ut
Parker & McConkie Injury Lawyers,Salt Lake City,UT,Personal injury law,From prior chat list (needs verification),,salt-lake-city-ut
Goff Law Group,Hartford,CT,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,hartford-ct
Carter Mario Injury Lawyers,Hartford,CT,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,hartford-ct
"Trantolo & Trantolo, LLC",Hartford,CT,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,hartford-ct
Isaacs & Isaacs Personal Injury Lawyers,Louisville,KY,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,louisville-ky
"Morgan, Collins, Yeast & Salyer",Louisville,KY,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,louisville-ky
Hughes & Coleman Injury Lawyers,Louisville,KY,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,louisville-ky
"Lambert Zainey Smith & Soso, LLC",New Orleans,LA,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,new-orleans-la
"Gainsburgh Benjamin David Meunier & Warshauer, L.L.C.",New Orleans,LA,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,new-orleans-la
The Chopin Law Firm,New Orleans,LA,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,new-orleans-la
Sugarman Law,Boston,MA,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,boston-ma
Sweeney Merrigan Law,Boston,MA,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,boston-ma
"Breakstone, White & Gluck",Boston,MA,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,boston-ma
"Miller & Zois, LLC",Baltimore,MD,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,baltimore-md
"Rice, Murtha & Psoras",Baltimore,MD,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,baltimore-md
Lebowitz & Mzhen Personal Injury Lawyers,Baltimore,MD,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,baltimore-md
Brown & Crouppen,St. Louis,MO,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,st-louis-mo
"OnderLaw, LLC",St. Louis,MO,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,st-louis-mo
"The Simon Law Firm, P.C.",St. Louis,MO,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,st-louis-mo
Nagel Rice LLP,Newark,NJ,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,newark-nj
"Garces, Grabler & LeBrocq, P.C.",Newark,NJ,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,newark-nj
"Ginarte Gonzalez & Winograd, LLP",Newark,NJ,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,newark-nj
Habush Habush & Rottier S.C.,Milwaukee,WI,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,milwaukee-wi
"Gruber Law Offices, LLC",Milwaukee,WI,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,milwaukee-wi
"Cannon & Dunphy, S.C.",Milwaukee,WI,Personal injury law,Anchor city coverage (added for 50-state PI grounding),,milwaukee-wi
